eta,sigma,Xi0,L_min,c0_HF,m_minus_BF,kappa1,kappa0
0.15,0.9,30.0,3.0827236485268656,3.0827236485268656,0.0,0.001090290459665185,0.479869971330156
0.15,0.9,40.0,3.0827236485268656,3.0827236485268656,0.0,0.0006132883835616666,0.4845777931197961
0.15,0.9,60.0,3.0827236485268656,3.0827236485268656,0.0,0.00027257261491629627,0.487940522969539
0.25,0.9,30.0,3.0827236485268656,3.0827236485268656,0.0,0.001090290459665185,0.479869971330156
0.25,0.9,40.0,3.0827236485268656,3.0827236485268656,0.0,0.0006132883835616666,0.4845777931197961
0.25,0.9,60.0,3.0827236485268656,3.0827236485268656,0.0,0.00027257261491629627,0.487940522969539
0.4,0.9,30.0,3.0827236485268656,3.0827236485268656,0.0,0.001090290459665185,0.479869971330156
0.4,0.9,40.0,3.0827236485268656,3.0827236485268656,0.0,0.0006132883835616666,0.4845777931197961
0.4,0.9,60.0,3.0827236485268656,3.0827236485268656,0.0,0.00027257261491629627,0.487940522969539
