k,lambda_k
1,1.14991671
2,1.14933467
3,1.18109344
4,1.21970917
5,1.25971277
6,1.29898790
7,1.33639456
8,1.37117805
9,1.40277457
10,1.43073549
11,1.45469459
12,1.47435288
13,1.48947140
14,1.49986772
15,1.50541416
16,1.50603680
17,1.50171476
18,1.49247937
19,1.47841320
20,1.45964871
21,1.43636659
22,1.40879366
23,1.37720043
24,1.34189826
25,1.30323607
26,1.26159684
27,1.21739364
28,1.17106550
29,1.12307294
30,1.07389334
31,1.02401614
32,0.97393793
33,0.92415746
34,0.87517063
35,0.82746553
36,0.78151756
37,0.73778463
38,0.69670263
39,0.65868102
40,0.62409875
41,0.59330047
42,0.56659307
43,0.54424261
44,0.52647169
45,0.51345716
46,0.50532841
47,0.50216603
48,0.50400103
49,0.51081451
50,0.52253786
51,0.53905344
52,0.56019575
53,0.58575307
54,0.61546961
55,0.64904802
56,0.68615240
57,0.72641161
58,0.76942305
59,0.81475658
60,0.86195892
61,0.91055809
62,0.96006820
63,1.00999425
64,1.05983710
65,1.10909846
66,1.15728583
67,1.20391750
68,1.24852726
69,1.29066916
70,1.32992187
71,1.36589297
72,1.39822282
73,1.42658817
74,1.45070540
75,1.47033332
76,1.48527563
77,1.49538282
78,1.50055372
79,1.50073649
80,1.49592912
81,1.48617947
82,1.47158479
83,1.45229074
84,1.42848993
85,1.40042003
86,1.36836134
87,1.33263404
88,1.29359496
89,1.25163402
90,1.20717035
91,1.16064808
92,1.11253191
93,1.06330248
94,1.01345154
95,0.96347707
96,0.91387828
97,0.86515061
98,0.81778084
99,0.77224215
100,0.72898944
